feature,importance
age,0.37063952830983404
avg_glucose_level,0.21955155327412093
bmi,0.1490642119922555
hypertension,0.058794102020621075
heart_disease,0.056914338680904376
ever_married,0.043351240625815246
smoking_status,0.035920149393876555
work_type,0.03584279169616761
gender,0.018780682857006067
Residence_type,0.011141401149398773
